frame               before_ts                lidar_ts                after_ts    bracket_ms    t_interp
------------------------------------------------------------------------------------------------------------------------
00000     1771724190901697792     1771724190787695360     1771724190958699008       +57.001     -2.0000
00001     1771724191174703616     1771724191162703360     1771724191222704640       +48.001     -0.2500
00002     1771724191429709056     1771724191351707392     1771724191477710080       +48.001     -1.6250
00003     1771724191687714560     1771724191537711360     1771724191726715392       +39.001     -3.8462
00004     1771724191990721024     1771724191912719360     1771724192032721920       +42.001     -1.8571
00005     1771724192293727488     1771724192287727360     1771724192335728384       +42.001     -0.1429
00006     1771724192548732928     1771724192476731392     1771724192590733824       +42.001     -1.7143
00007     1771724192845739264     1771724192662735360     1771724192881740032       +36.001     -5.0833
00008     1771724193142745600     1771724193037743360     1771724193181746432       +39.001     -2.6923
00009     1771724193439751936     1771724193412751360     1771724193475752704       +36.001     -0.7500
00010     1771724193727758080     1771724193601755392     1771724193763758848       +36.001     -3.5000
00011     1771724194009764096     1771724193976763392     1771724194042764800       +33.001     -1.0000
00012     1771724194288770048     1771724194162767360     1771724194324770816       +36.001     -3.5000
00013     1771724194567776000     1771724194537775360     1771724194603776768       +36.001     -0.8333
00014     1771724194846781952     1771724194726779392     1771724194882782720       +36.001     -3.3333
00015     1771724195119787776     1771724195101787392     1771724195152788480       +33.001     -0.5455
00016     1771724195392793600     1771724195287791360     1771724195425794304       +33.001     -3.1818
00017     1771724195671799552     1771724195662799360     1771724195704800256       +33.001     -0.2727
00018     1771724195923804928     1771724195851803392     1771724195959805696       +36.001     -2.0000
00019     1771724196199810816     1771724196037807360     1771724196235811584       +36.001     -4.5000
00020     1771724196478816768     1771724196412815360     1771724196514817536       +36.001     -1.8333
00021     1771724196760822784     1771724196601819392     1771724196796823552       +36.001     -4.4167
00022     1771724197039828736     1771724196976827392     1771724197072829440       +33.001     -1.9091
00023     1771724197321834752     1771724197162831360     1771724197357835520       +36.001     -4.4167
00024     1771724197600840704     1771724197537839360     1771724197636841472       +36.001     -1.7500
00025     1771724197894846976     1771724197726843392     1771724197924847616       +30.001     -5.6000
00026     1771724198170852864     1771724198101851392     1771724198206853632       +36.001     -1.9167
00027     1771724198449858816     1771724198287855360     1771724198485859584       +36.001     -4.5000
00028     1771724198722864640     1771724198662863360     1771724198761865472       +39.001     -1.5385
00029     1771724199004870656     1771724198851867392     1771724199037871360       +33.001     -4.6364
00030     1771724199280876544     1771724199226875392     1771724199316877312       +36.001     -1.5000
00031     1771724199559882496     1771724199412879360     1771724199595883264       +36.001     -4.0833
00032     1771724199826888192     1771724199787887360     1771724199859888896       +33.001     -1.1818
00033     1771724200105894144     1771724199976891392     1771724200138894848       +33.001     -3.9091
00034     1771724200378899968     1771724200351899392     1771724200414900736       +36.001     -0.7500
00035     1771724200666906112     1771724200537903360     1771724200702906880       +36.001     -3.5833
00036     1771724200945912064     1771724200912911360     1771724200978912768       +33.001     -1.0000
00037     1771724201224918016     1771724201101915392     1771724201257918720       +33.001     -3.7273
00038     1771724201497923840     1771724201476923392     1771724201530924544       +33.001     -0.6364
00039     1771724201785929984     1771724201662927360     1771724201818930688       +33.001     -3.7273
00040     1771724202061935872     1771724202037935360     1771724202094936576       +33.001     -0.7273
00041     1771724202343941888     1771724202226939392     1771724202379942656       +36.001     -3.2500
00042     1771724202619947776     1771724202601947392     1771724202655948544       +36.001     -0.5000
00043     1771724202901953792     1771724202787951360     1771724202934954496       +33.001     -3.4545
00044     1771724203174959616     1771724203162959360     1771724203210960384       +36.001     -0.3333
00045     1771724203453965568     1771724203351963392     1771724203489966336       +36.001     -2.8333
00046     1771724203729971456     1771724203726971392     1771724203762972160       +33.001     -0.0909
00047     1771724204014977536     1771724203912975360     1771724204047978240       +33.001     -3.0909
00048     1771724204287983360     1771724204101979392     1771724204320984064       +33.001     -5.6364
00049     1771724204569989376     1771724204476987392     1771724204605990144       +36.001     -2.5833
00050     1771724204851995392     1771724204662991360     1771724204884996096       +33.001     -5.7273
00051     1771724205128001280     1771724205037999360     1771724205161001984       +33.001     -2.7273
00052     1771724205401007104     1771724205227003392     1771724205434007808       +33.001     -5.2727
00053     1771724205686013184     1771724205602011392     1771724205719013888       +33.001     -2.5455
00054     1771724205962019072     1771724205788015360     1771724205995019776       +33.001     -5.2727
00055     1771724206241025024     1771724206163023360     1771724206274025728       +33.001     -2.3636
00056     1771724206517030912     1771724206352027392     1771724206550031616       +33.001     -5.0000
00057     1771724206793036800     1771724206727035392     1771724206832037632       +39.001     -1.6923
00058     1771724207102043392     1771724207102043392     1771724207138044160       +36.001      0.0000
00059     1771724207387049472     1771724207288047360     1771724207423050240       +36.001     -2.7500
00060     1771724207660055296     1771724207477051392     1771724207693056000       +33.001     -5.5455
00061     1771724207939061248     1771724207852059392     1771724207978062080       +39.001     -2.2308
00062     1771724208221067264     1771724208038063360     1771724208257068032       +36.001     -5.0833
00063     1771724208497073152     1771724208413071360     1771724208533073920       +36.001     -2.3333
00064     1771724208767078912     1771724208602075392     1771724208800079616       +33.001     -5.0000
00065     1771724209043084800     1771724208977083392     1771724209082085632       +39.001     -1.6923
00066     1771724209325090816     1771724209163087360     1771724209364091648       +39.001     -4.1538
00067     1771724209601096704     1771724209538095360     1771724209640097536       +39.001     -1.6154
00068     1771724209883102720     1771724209727099392     1771724209919103488       +36.001     -4.3333
00069     1771724210165108736     1771724210102107392     1771724210204109568       +39.001     -1.6154
00070     1771724210444114688     1771724210288111360     1771724210480115456       +36.001     -4.3333
00071     1771724210717120512     1771724210663119360     1771724210756121344       +39.001     -1.3846
00072     1771724210990126336     1771724210852123392     1771724211029127168       +39.001     -3.5385
00073     1771724211263132160     1771724211227131392     1771724211299132928       +36.001     -1.0000
00074     1771724211539138048     1771724211413135360     1771724211575138816       +36.001     -3.5000
00075     1771724211821144064     1771724211788143360     1771724211860144896       +39.001     -0.8462
00076     1771724212109150208     1771724211977147392     1771724212148151040       +39.001     -3.3846
00077     1771724212385156096     1771724212352155392     1771724212424156928       +39.001     -0.8462
00078     1771724212661161984     1771724212538159360     1771724212700162816       +39.001     -3.1538
00079     1771724212940167936     1771724212913167360     1771724212979168768       +39.001     -0.6923
00080     1771724213219173888     1771724213102171392     1771724213255174656       +36.001     -3.2500
00081     1771724213498179840     1771724213477179392     1771724213537180672       +39.001     -0.5385
00082     1771724213780185856     1771724213663183360     1771724213819186688       +39.001     -3.0000
00083     1771724214059191808     1771724214038191360     1771724214098192640       +39.001     -0.5385
00084     1771724214335197696     1771724214227195392     1771724214374198528       +39.001     -2.7692
00085     1771724214614203648     1771724214602203392     1771724214650204416       +36.001     -0.3333
00086     1771724214890209536     1771724214788207360     1771724214929210368       +39.001     -2.6154
00087     1771724215166215424     1771724215163215360     1771724215205216256       +39.001     -0.0769
00088     1771724215448221440     1771724215352219392     1771724215487222272       +39.001     -2.4615
00089     1771724215727227392     1771724215727227392     1771724215766228224       +39.001      0.0000
00090     1771724216000233216     1771724215913231360     1771724216039234048       +39.001     -2.2308
00091     1771724216279239168     1771724216102235392     1771724216315239936       +36.001     -4.9167
00092     1771724216552244992     1771724216477243392     1771724216591245824       +39.001     -1.9231
00093     1771724216828250880     1771724216663247360     1771724216864251648       +36.001     -4.5833
00094     1771724217107256832     1771724217038255360     1771724217143257600       +36.001     -1.9167
00095     1771724217392262912     1771724217227259392     1771724217425263616       +33.001     -5.0000
00096     1771724217677268992     1771724217602267392     1771724217713269760       +36.001     -2.0833
00097     1771724217953274880     1771724217788271360     1771724217989275648       +36.001     -4.5833
00098     1771724218232280832     1771724218163279360     1771724218268281600       +36.001     -1.9167
00099     1771724218496286464     1771724218352283392     1771724218532287232       +36.001     -4.0000
00100     1771724218775292416     1771724218727291392     1771724218814293248       +39.001     -1.2308
00101     1771724219060298496     1771724218913295360     1771724219099299328       +39.001     -3.7692
00102     1771724219342304512     1771724219288303360     1771724219381305344       +39.001     -1.3846
00103     1771724219621310464     1771724219477307392     1771724219660311296       +39.001     -3.6923
00104     1771724219903316480     1771724219852315392     1771724219939317248       +36.001     -1.4167
00105     1771724220182322432     1771724220038319360     1771724220221323264       +39.001     -3.6923
00106     1771724220461328384     1771724220413327360     1771724220500329216       +39.001     -1.2308
00107     1771724220743334400     1771724220602331392     1771724220782335232       +39.001     -3.6154
00108     1771724221025340416     1771724220977339392     1771724221064341248       +39.001     -1.2308
00109     1771724221304346368     1771724221163343360     1771724221343347200       +39.001     -3.6154
00110     1771724221583352320     1771724221538351360     1771724221622353152       +39.001     -1.1538
00111     1771724221865358336     1771724221727355392     1771724221904359168       +39.001     -3.5385
00112     1771724222144364288     1771724222102363392     1771724222183365120       +39.001     -1.0769
00113     1771724222426370304     1771724222288367360     1771724222465371136       +39.001     -3.5385
00114     1771724222705376256     1771724222663375360     1771724222744377088       +39.001     -1.0769
00115     1771724222987382272     1771724222852379392     1771724223026383104       +39.001     -3.4615
00116     1771724223275388416     1771724223227387392     1771724223314389248       +39.001     -1.2308
00117     1771724223572394752     1771724223413391360     1771724223605395456       +33.001     -4.8182
00118     1771724223851400704     1771724223788399360     1771724223884401408       +33.001     -1.9091
00119     1771724224133406720     1771724223977403392     1771724224166407424       +33.001     -4.7273
00120     1771724224415412736     1771724224352411392     1771724224448413440       +33.001     -1.9091
00121     1771724224703418880     1771724224538415360     1771724224739419648       +36.001     -4.5833
00122     1771724224985424896     1771724224913423360     1771724225021425664       +36.001     -2.0000
00123     1771724225264430848     1771724225102427392     1771724225297431552       +33.001     -4.9091
00124     1771724225543436800     1771724225477435392     1771724225579437568       +36.001     -1.8333
00125     1771724225846443264     1771724225663439360     1771724225882444032       +36.001     -5.0833
00126     1771724226128449280     1771724226038447360     1771724226167450112       +39.001     -2.3077
00127     1771724226419455488     1771724226413455360     1771724226458456320       +39.001     -0.1538
00128     1771724226719461888     1771724226602459392     1771724226755462656       +36.001     -3.2500
00129     1771724227001467904     1771724226977467392     1771724227037468672       +36.001     -0.6667
00130     1771724227280473856     1771724227163471360     1771724227313474560       +33.001     -3.5455
00131     1771724227562479872     1771724227538479360     1771724227598480640       +36.001     -0.6667
00132     1771724227853486080     1771724227727483392     1771724227886486784       +33.001     -3.8182
00133     1771724228135492096     1771724228102491392     1771724228168492800       +33.001     -1.0000
00134     1771724228414498048     1771724228288495360     1771724228447498752       +33.001     -3.8182
00135     1771724228693504000     1771724228663503360     1771724228729504768       +36.001     -0.8333
00136     1771724228978510080     1771724228852507392     1771724229014510848       +36.001     -3.5000
00137     1771724229257516032     1771724229227515392     1771724229293516800       +36.001     -0.8333
00138     1771724229542522112     1771724229413519360     1771724229578522880       +36.001     -3.5833
00139     1771724229791527424     1771724229788527360     1771724229866529024       +75.002     -0.0400
00140     1771724230097533952     1771724229977531392     1771724230133534720       +36.001     -3.3333
00141     1771724230376539904     1771724230352539392     1771724230415540736       +39.001     -0.6154
00142     1771724230673546240     1771724230538543360     1771724230712547072       +39.001     -3.4615
00143     1771724230955552256     1771724230913551360     1771724230994553088       +39.001     -1.0769
00144     1771724231234558208     1771724231102555392     1771724231273559040       +39.001     -3.3846
00145     1771724231516564224     1771724231477563392     1771724231555565056       +39.001     -1.0000
00146     1771724231813570560     1771724231663567360     1771724231849571328       +36.001     -4.1667
00147     1771724232092576512     1771724232038575360     1771724232131577344       +39.001     -1.3846
00148     1771724232371582464     1771724232227579392     1771724232410583296       +39.001     -3.6923
00149     1771724232653588480     1771724232602587392     1771724232695589376       +42.001     -1.2143
00150     1771724232950594816     1771724232788591360     1771724232983595520       +33.001     -4.9091
00151     1771724233232600832     1771724233163599360     1771724233268601600       +36.001     -1.9167
00152     1771724233523607040     1771724233352603392     1771724233556607744       +33.001     -5.1818
00153     1771724233805613056     1771724233727611392     1771724233841613824       +36.001     -2.1667
00154     1771724234096619264     1771724233913615360     1771724234129619968       +33.001     -5.5455
00155     1771724234375625216     1771724234288623360     1771724234411625984       +36.001     -2.4167
00156     1771724234672631552     1771724234663631360     1771724234711632384       +39.001     -0.2308
00157     1771724234966637824     1771724234852635392     1771724235005638656       +39.001     -2.9231
00158     1771724235248643840     1771724235227643392     1771724235284644608       +36.001     -0.5833
00159     1771724235530649856     1771724235413647360     1771724235569650688       +39.001     -3.0000
00160     1771724235824656128     1771724235788655360     1771724235860656896       +36.001     -1.0000
00161     1771724236115662336     1771724235977659392     1771724236151663104       +36.001     -3.8333
00162     1771724236397668352     1771724236352667392     1771724236433669120       +36.001     -1.2500
00163     1771724236691674624     1771724236538671360     1771724236727675392       +36.001     -4.2500
00164     1771724236970680576     1771724236913679360     1771724237006681344       +36.001     -1.5833
00165     1771724237249686528     1771724237102683392     1771724237285687296       +36.001     -4.0833
00166     1771724237531692544     1771724237477691392     1771724237570693376       +39.001     -1.3846
00167     1771724237822698752     1771724237663695360     1771724237855699456       +33.001     -4.8182
00168     1771724238104704768     1771724238038703360     1771724238140705536       +36.001     -1.8333
00169     1771724238398711040     1771724238227707392     1771724238437711872       +39.001     -4.3846
00170     1771724238689717248     1771724238602715392     1771724238728718080       +39.001     -2.2308
00171     1771724238968723200     1771724238788719360     1771724239004723968       +36.001     -5.0000
00172     1771724239262729472     1771724239163727360     1771724239298730240       +36.001     -2.7500
00173     1771724239541735424     1771724239538735360     1771724239577736192       +36.001     -0.0833
00174     1771724239835741696     1771724239727739392     1771724239871742464       +36.001     -3.0000
00175     1771724240120747776     1771724240102747392     1771724240156748544       +36.001     -0.5000
00176     1771724240411753984     1771724240288751360     1771724240447754752       +36.001     -3.4167
00177     1771724240699760128     1771724240663759360     1771724240738760960       +39.001     -0.9231
00178     1771724240984766208     1771724240852763392     1771724241023767040       +39.001     -3.3846
00179     1771724241269772288     1771724241227771392     1771724241305773056       +36.001     -1.1667
