frame,raw_pts,world_pts,voxel_count,tgt_pts_full,tgt_pts_cropped,t_transform_ms,t_get_vis_ms,t_local_crop_ms,t_register_fn_ms,t_evaluate_reg_ms,t_register_total_ms,t_gtsam_ms,t_octo_insert_ms,t_vox_track_ms,t_vis_ms,t_total_ms,reg_local_crop_ms,reg_src_downsample_ms,reg_tgt_downsample_ms,reg_src_normals_ms,reg_tgt_normals_ms,reg_pass0_ms,reg_pass1_ms,reg_pass2_ms,reg_total_ms,reg_src_pts,reg_tgt_pts
0,194361,194361,0,0,0,5.599753999945278,0.0,0.0,0.0,0.0,0.10743399991497427,0.217192000036448,30.692981000015607,29.58083099997566,52.439861000038945,121.68726899994908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,192674,192674,26776,26776,26776,18.76436099996681,0.011571999948500888,0.006352000013976067,445.7815110000638,95.61059400004979,545.3745920000301,0.24957300001915428,51.1582180000687,37.723138000046674,5.518861000041397,662.7942320000102,,,,,,,,,,,
2,188256,188256,44735,44735,44735,5.485797999995157,0.002414000050521281,0.0011130000530101825,628.9837839999564,104.36550299993996,737.3897620000207,0.22758099999009573,41.131004000021676,36.57998999995016,5.447334999985287,829.0973499999836,,,,,,,,,,,
3,175556,175556,79941,79941,79941,8.529431999932058,0.0023439999949914636,0.0017840000055002747,1194.858722000049,114.95345499997711,1313.3092320000515,0.23516600003858912,50.15492200004701,36.12312200004908,5.473563999998987,1416.6245690000778,,,,,,,,,,,
4,159395,159395,121722,121722,120000,5.498310999996647,0.0027549999686016236,3.1086170000662605,1249.4469939999817,124.05956799989326,1380.6777879999572,0.23243099997216632,52.720617999966635,37.80399899994791,5.510705000006055,1485.1833179999403,,,,,,,,,,,
5,134699,134699,159461,159461,120000,4.049753000003875,0.002365000000281725,3.5394349999933183,1292.9117460000725,139.82886799999505,1440.2347609999424,0.28466000003390945,48.28705499994612,35.21737000005487,5.603760999974838,1536.1940440000126,,,,,,,,,,,
6,123806,123806,189530,189530,120000,3.5474989999784157,0.002033999976447376,3.285452999989502,1327.8073799999675,116.22635900005207,1451.3918480000711,0.2801709999857849,46.75776300007328,32.02947199997652,5.526153000005252,1542.058597999926,,,,,,,,,,,
7,113812,113812,208536,208536,120000,3.358091000109198,0.00214399995002168,4.7133619999613074,1209.6168799999987,135.6145329999663,1353.9812920000713,0.27217599995310593,42.60635599996476,34.19235400008347,5.656179999959932,1442.4407620000466,,,,,,,,,,,
8,114628,114628,245906,245906,120000,4.040483999915523,0.0030050000532355625,5.396937999989859,1189.850985000021,138.3148129999654,1337.4657500000922,0.2769750000197746,54.96513799994318,31.774906999999075,5.812285999923006,1437.5347610000517,,,,,,,,,,,
9,115038,115038,302109,302109,120000,3.277977999914583,0.0020039999526488828,3.963297999916904,1327.0296370000096,137.9392439999947,1472.6117589999603,0.35618500010059506,43.873836999978266,41.05262500002027,5.814761000010549,1569.986073999985,,,,,,,,,,,
