frame,raw_pts,world_pts,voxel_count,tgt_pts_full,tgt_pts_cropped,t_transform_ms,t_get_vis_ms,t_local_crop_ms,t_register_fn_ms,t_evaluate_reg_ms,t_register_total_ms,t_gtsam_ms,t_octo_insert_ms,t_vox_track_ms,t_vis_ms,t_total_ms,reg_local_crop_ms,reg_src_downsample_ms,reg_tgt_downsample_ms,reg_src_normals_ms,reg_tgt_normals_ms,reg_pass0_ms,reg_pass1_ms,reg_pass2_ms,reg_total_ms,reg_src_pts,reg_tgt_pts
0,194361,194361,0,0,0,5.751615999997739,0.0,0.0,0.0,0.0,0.11469599999713864,0.20238000001882028,32.806770000007646,26.926250000002483,52.6675910000165,121.44937699997627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,192674,192674,27692,0,0,13.358122999989064,0.0,0.0,0.0,0.0,0.15205599999035257,0.4974050000043917,62.89432300002318,27.949242999994794,5.718715999989854,114.72402900000134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,188256,188256,62556,0,0,5.6317110000065895,0.0,0.0,0.0,0.0,0.17814499997825806,0.3929589999813743,49.21249299999886,37.831328999999414,5.463333999983888,101.54570500000659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
3,175556,175556,116185,0,0,4.999051999988069,0.0,0.0,0.0,0.0,0.09733299998515577,0.3081989999884627,65.04371600001946,44.58243599998468,5.615690999974277,123.7215299999832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
4,159395,159395,194962,0,0,5.417217999990953,0.0,0.0,0.0,0.0,0.08675300000504649,0.30741799997713315,57.51547799999912,49.00221700000884,5.890507999993133,120.91355000001158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
5,134699,134699,289839,0,0,4.921526000003951,0.0,0.0,0.0,0.0,0.07721500000457127,0.278484000006074,63.797292000003836,41.87587299998086,5.892501000005268,119.33770299998514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
6,123806,123806,390949,0,0,3.8079619999962233,0.0,0.0,0.0,0.0,0.06613500002572437,0.2898949999803335,44.012101000021175,55.58757000000014,7.86951000000613,114.05763000001912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
7,113812,113812,491242,0,0,3.4893229999966024,0.0,0.0,0.0,0.0,0.07954000000154338,0.28776199999924756,43.966243999989274,56.54234600001473,6.382371999990255,113.18484899999248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
8,114628,114628,577843,0,0,3.99312000001828,0.0,0.0,0.0,0.0,0.06549299999392133,0.2599290000091514,79.4334339999807,65.53799299999241,7.036602999988872,158.70463499999232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
9,115038,115038,675311,0,0,3.3022000000073604,0.0,0.0,0.0,0.0,0.07555199999842444,0.3318439999873135,62.11543699998856,38.85602400001176,8.438330000018368,115.50578399999267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
